Data,Italia,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling
14/03/2024,,"86,04","85,19","86,52","86,52","86,52","86,52","86,52","85,19","86,52","85,19","86,52","100,36","85,19","86,52","85,19","85,19","0,00","0,00","100,36","86,52","86,52","85,19"
15/03/2024,,"91,54","91,42","91,42","91,42","87,64","91,42","91,42","91,42","91,42","91,42","87,64","94,36","91,42","91,42","91,42","91,42","0,00","0,00","94,36","91,42","91,42","91,42"
16/03/2024,,"83,65","83,28","88,03","83,32","77,49","83,32","88,03","83,28","88,03","83,28","77,49","88,03","83,28","88,03","83,28","83,28","0,00","0,00","88,03","88,03","88,03","83,28"
17/03/2024,,"79,60","79,32","80,08","80,08","77,90","80,08","80,08","79,32","80,08","79,32","77,90","80,08","79,32","80,08","79,32","79,32","0,00","0,00","80,08","80,08","80,08","79,32"
18/03/2024,,"100,91","101,08","101,34","101,08","88,74","101,08","101,34","101,08","101,34","101,08","88,74","101,34","101,08","101,34","101,08","101,08","0,00","0,00","101,34","101,34","101,34","101,08"
19/03/2024,,"99,60","99,60","99,60","99,60","99,60","99,60","99,60","99,60","99,60","99,60","99,60","99,60","99,60","99,60","99,60","99,60","0,00","0,00","99,60","99,60","99,60","99,60"
20/03/2024,,"96,95","97,17","97,17","97,17","89,83","97,17","97,17","97,17","97,17","97,17","89,83","101,65","97,17","97,17","97,17","97,17","0,00","0,00","101,65","97,17","97,17","97,17"
21/03/2024,,"97,62","97,70","97,70","97,70","93,91","93,91","97,70","97,70","97,70","97,70","93,91","97,70","97,70","97,70","97,70","97,70","0,00","0,00","97,70","97,70","97,70","97,70"
22/03/2024,,"97,23","97,77","97,77","97,77","86,60","97,77","97,77","97,77","97,77","97,77","86,60","97,77","97,77","97,77","97,77","97,77","0,00","0,00","97,77","97,77","97,77","97,77"
23/03/2024,,"84,71","86,38","86,38","86,38","69,88","86,38","86,38","86,38","86,38","86,38","69,88","86,38","86,38","86,38","86,38","86,38","0,00","0,00","86,38","86,38","86,38","86,38"
24/03/2024,,"54,95","62,00","51,95","61,21","48,48","61,21","61,21","62,00","51,95","62,00","48,48","51,95","62,00","51,95","62,00","62,00","0,00","0,00","51,95","61,21","51,95","62,00"
25/03/2024,,"91,25","91,25","91,25","91,25","91,25","91,25","91,25","91,25","91,25","91,25","91,25","91,25","91,25","91,25","91,25","91,25","0,00","0,00","91,25","91,25","91,25","91,25"
26/03/2024,,"103,17","105,31","97,35","105,31","105,25","105,31","105,31","105,31","103,09","105,31","105,25","97,35","105,31","103,09","105,31","105,31","0,00","0,00","97,35","105,31","103,09","105,31"
27/03/2024,,"91,60","97,06","85,47","97,06","60,03","97,06","97,06","97,06","85,47","97,06","60,03","85,47","97,06","85,47","97,06","97,06","0,00","0,00","85,47","97,06","85,47","97,06"
28/03/2024,,"86,42","92,64","66,81","92,64","38,84","92,64","92,62","92,64","66,81","92,64","38,84","66,81","92,64","66,81","92,64","92,64","0,00","0,00","66,81","92,62","66,81","92,64"
29/03/2024,,"98,56","98,88","98,88","98,88","78,89","98,88","98,88","98,88","98,88","98,88","78,89","98,88","98,88","98,88","98,88","98,88","0,00","0,00","98,88","98,88","98,88","98,88"
30/03/2024,,"85,58","88,99","75,67","88,99","88,99","88,99","88,99","88,99","75,67","88,99","88,99","75,67","88,99","75,67","88,99","88,99","0,00","0,00","75,67","88,99","75,67","88,99"
31/03/2024,,"90,09","91,71","80,34","91,71","91,71","91,71","91,71","91,71","80,34","91,71","91,71","80,34","91,71","80,34","91,71","91,71","0,00","0,00","80,34","91,71","80,34","91,71"
01/04/2024,,"62,99","64,71","61,03","64,71","56,12","64,71","64,71","64,71","61,03","64,71","56,12","61,03","64,71","61,03","64,71","64,71","0,00","0,00","61,03","64,71","61,03","64,71"
02/04/2024,,"75,93","76,76","75,71","75,71","75,71","75,71","75,71","76,76","75,71","76,76","75,71","75,71","76,76","75,71","76,76","76,76","0,00","0,00","75,71","75,71","75,71","76,76"
03/04/2024,,"80,01","80,50","79,27","80,50","68,12","80,50","80,45","80,50","80,45","80,50","68,12","79,27","80,50","80,45","80,50","80,50","0,00","0,00","79,27","80,45","80,45","80,50"
04/04/2024,,"76,67","76,97","75,95","76,97","76,97","76,97","76,97","76,97","76,97","76,97","76,97","75,95","76,97","76,97","76,97","76,97","0,00","0,00","75,95","76,97","76,97","76,97"
05/04/2024,,"84,78","85,00","85,00","85,00","83,16","85,00","85,00","85,00","85,00","85,00","83,16","85,00","85,00","85,00","85,00","85,00","0,00","0,00","85,00","85,00","85,00","85,00"
06/04/2024,,"56,76","54,80","58,89","58,89","58,89","58,89","58,89","54,80","58,89","54,80","58,89","58,89","54,80","58,89","54,80","54,80","0,00","0,00","58,89","58,89","58,89","54,80"
07/04/2024,,"67,56","67,57","67,67","67,67","67,67","67,67","67,67","67,57","67,67","67,57","67,67","67,67","67,57","67,67","67,57","67,57","0,00","0,00","67,67","67,67","67,67","67,57"
08/04/2024,,"82,81","82,84","82,84","82,84","82,84","82,84","82,84","82,84","82,84","82,84","82,84","82,84","82,84","82,84","82,84","82,84","0,00","0,00","82,84","82,84","82,84","82,84"
09/04/2024,,"88,22","87,60","89,38","89,38","89,38","89,38","89,38","87,60","89,38","87,60","89,38","89,38","87,60","89,38","87,60","87,60","0,00","0,00","89,38","89,38","89,38","87,60"
10/04/2024,,"94,33","96,25","90,20","96,25","64,65","96,25","94,85","96,25","90,20","96,25","64,65","90,20","96,25","90,20","96,25","96,25","0,00","0,00","90,20","94,85","90,20","96,25"
11/04/2024,,"80,92","80,92","80,97","80,97","80,97","80,97","80,97","80,92","80,97","80,92","80,97","80,97","80,92","80,97","80,92","80,92","0,00","0,00","80,97","80,97","80,97","80,92"
12/04/2024,,"69,87","69,95","69,95","69,95","69,95","69,95","69,95","69,95","69,95","69,95","69,95","69,95","69,95","69,95","69,95","69,95","0,00","0,00","69,95","69,95","69,95","69,95"
13/04/2024,,"71,06","70,18","71,78","71,75","71,78","71,78","71,78","70,18","71,78","70,18","71,78","71,78","70,18","71,78","70,18","70,18","0,00","0,00","71,78","71,78","71,78","70,18"
14/04/2024,,"74,90","74,62","75,52","75,40","75,52","75,52","75,52","74,62","75,52","74,62","75,52","75,52","74,62","75,52","74,62","74,62","0,00","0,00","75,52","75,52","75,52","74,62"
15/04/2024,,"91,38","91,49","91,49","91,49","91,49","91,49","91,49","91,49","91,49","91,49","91,49","91,49","91,49","91,49","91,49","91,49","0,00","0,00","91,49","91,49","91,49","91,49"
16/04/2024,,"89,36","90,85","90,85","90,85","76,31","76,31","90,85","90,85","90,85","90,85","76,31","90,85","90,85","90,85","90,85","90,85","0,00","0,00","90,85","90,85","90,85","90,85"
17/04/2024,,"95,00","96,52","91,26","96,52","70,40","70,40","96,52","96,52","91,26","96,52","70,40","91,26","96,52","91,26","96,52","96,52","0,00","0,00","91,26","96,52","91,26","96,52"
18/04/2024,,"108,58","109,10","109,10","109,10","78,69","78,86","109,10","109,10","109,10","109,10","78,69","109,10","109,10","109,10","109,10","109,10","0,00","0,00","109,10","109,10","109,10","109,10"
19/04/2024,,"94,46","95,78","93,37","95,78","86,54","86,54","95,63","95,78","93,37","95,78","86,54","93,37","95,78","93,37","95,78","95,78","0,00","0,00","93,37","95,63","93,37","95,78"
