Data,Italia (senza vincoli),Austria,Calabria,Centro Nord,Corsica AC,Corsica,Centro Sud,Francia,Grecia,Nord,Sardegna,Sicilia,Slovenia,Sud,Svizzera,Slovenia Coupling,Francia Coupling,Austria Coupling,Malta,Montenegro,Grecia Coupling,Italia  Coupling,Totale Italia
15/02/2024,"37.993,128","0,000","849,481","3.226,071","0,000","0,000","6.791,113","0,000","0,000","21.218,088","564,801","3.060,083","0,000","2.937,180","874,163","249,336","0,000","0,000","32,000","547,500","84,292","0,000","40.434,108"
16/02/2024,"43.772,376","0,000","562,740","2.356,869","0,000","0,000","16.785,167","0,000","0,000","17.158,993","389,665","4.783,813","0,000","2.918,320","602,014","0,000","0,000","0,000","0,000","248,750","0,000","0,000","45.806,331"
17/02/2024,"33.403,956","0,000","665,583","2.453,669","0,000","0,000","5.428,920","0,000","0,000","16.811,552","865,315","4.598,774","0,000","11.316,905","602,666","60,809","0,000","0,000","11,000","313,750","9,993","0,000","43.138,936"
18/02/2024,"30.072,064","0,000","644,342","3.095,111","0,000","0,000","6.329,627","0,000","0,000","20.423,858","1.090,037","1.555,742","0,000","8.067,752","30,953","10,079","0,000","0,000","0,000","102,000","48,053","0,000","41.397,554"
19/02/2024,"34.594,790","0,000","1.445,708","2.859,659","0,000","0,000","4.374,538","0,000","0,000","17.429,102","940,636","3.412,691","0,000","6.133,793","439,674","2,000","0,000","0,000","0,000","242,500","220,935","0,000","37.501,236"
20/02/2024,"36.288,862","0,000","1.724,646","2.388,118","0,000","0,000","5.507,479","0,000","0,000","20.518,249","682,955","2.208,223","0,000","8.342,770","119,510","0,000","0,000","0,000","117,000","55,000","223,492","0,000","41.887,442"
21/02/2024,"39.972,659","0,000","777,423","2.875,316","0,000","0,000","8.105,555","0,000","0,000","28.760,329","364,734","3.316,490","0,000","6.170,571","155,000","11,700","0,000","0,000","0,000","130,748","220,990","0,000","50.888,856"
22/02/2024,"43.660,672","0,000","823,628","2.760,011","0,000","0,000","5.872,035","0,000","0,000","27.131,789","831,675","3.160,814","0,000","8.479,301","809,312","0,000","0,000","0,000","150,000","431,488","75,563","0,000","50.525,616"
23/02/2024,"38.925,769","0,000","509,909","1.926,185","0,000","0,000","6.422,080","0,000","0,000","28.934,554","1.421,426","5.407,423","0,000","7.007,206","495,000","21,200","0,000","0,000","0,000","143,750","159,152","0,000","52.447,885"
24/02/2024,"34.405,443","0,000","661,542","2.541,016","0,000","0,000","11.027,600","0,000","0,000","15.998,269","903,569","2.468,858","0,000","6.663,655","325,509","0,000","0,000","0,000","47,000","0,000","27,868","0,000","40.664,886"
