Data,Ora,MWh
11/01/2024,11,"-1.046,951"
11/01/2024,12,"-706,740"
11/01/2024,13,"390,185"
11/01/2024,14,"98,791"
11/01/2024,15,"186,288"
11/01/2024,16,"52,037"
11/01/2024,17,"765,383"
11/01/2024,18,"1.038,417"
11/01/2024,19,"558,578"
11/01/2024,20,"1.243,231"
11/01/2024,21,"1.727,200"
11/01/2024,22,"1.302,840"
11/01/2024,23,"2.150,748"
11/01/2024,24,"2.311,295"
12/01/2024,1,"1.633,517"
12/01/2024,2,"1.089,504"
12/01/2024,3,"653,368"
12/01/2024,4,"395,920"
12/01/2024,5,"25,692"
12/01/2024,6,"565,039"
12/01/2024,7,"535,694"
12/01/2024,8,"341,495"
12/01/2024,9,"-969,321"
12/01/2024,10,"-1.239,172"
12/01/2024,11,"-2.698,275"
12/01/2024,12,"-3.316,734"
12/01/2024,13,"-3.072,000"
12/01/2024,14,"-3.072,000"
12/01/2024,15,"-2.924,179"
12/01/2024,16,"-3.055,668"
12/01/2024,17,"-1.079,771"
12/01/2024,18,"-689,410"
12/01/2024,19,"-241,540"
12/01/2024,20,"158,228"
12/01/2024,21,"896,569"
12/01/2024,22,"466,499"
12/01/2024,23,"313,586"
12/01/2024,24,"-142,251"
13/01/2024,1,"598,030"
13/01/2024,2,"-91,630"
13/01/2024,3,"-472,890"
13/01/2024,4,"-566,631"
13/01/2024,5,"-595,989"
13/01/2024,6,"85,502"
13/01/2024,7,"687,549"
13/01/2024,8,"1.104,178"
13/01/2024,9,"158,513"
13/01/2024,10,"-219,483"
13/01/2024,11,"-461,701"
13/01/2024,12,"-1.616,849"
13/01/2024,13,"-1.704,562"
13/01/2024,14,"-1.522,092"
13/01/2024,15,"122,278"
13/01/2024,16,"1.811,673"
13/01/2024,17,"2.615,902"
13/01/2024,18,"2.656,000"
13/01/2024,19,"2.609,000"
13/01/2024,20,"2.609,000"
13/01/2024,21,"2.709,000"
13/01/2024,22,"2.902,007"
13/01/2024,23,"1.982,201"
13/01/2024,24,"2.162,644"
14/01/2024,1,"2.200,476"
14/01/2024,2,"1.680,161"
14/01/2024,3,"1.190,105"
14/01/2024,4,"829,952"
14/01/2024,5,"857,934"
14/01/2024,6,"823,244"
14/01/2024,7,"924,853"
14/01/2024,8,"1.356,157"
14/01/2024,9,"762,952"
14/01/2024,10,"242,862"
14/01/2024,11,"-242,589"
14/01/2024,12,"-630,728"
14/01/2024,13,"-705,703"
14/01/2024,14,"-868,564"
14/01/2024,15,"-655,461"
14/01/2024,16,"619,969"
14/01/2024,17,"1.242,901"
14/01/2024,18,"2.013,216"
14/01/2024,19,"2.101,944"
14/01/2024,20,"2.098,143"
14/01/2024,21,"2.170,272"
14/01/2024,22,"1.308,550"
14/01/2024,23,"1.402,418"
14/01/2024,24,"684,670"
15/01/2024,1,"-494,065"
15/01/2024,2,"-872,774"
15/01/2024,3,"-917,234"
15/01/2024,4,"-723,938"
15/01/2024,5,"-792,121"
15/01/2024,6,"84,165"
15/01/2024,7,"1.140,365"
15/01/2024,8,"1.026,304"
15/01/2024,9,"92,048"
15/01/2024,10,"-1.378,186"
15/01/2024,11,"-2.318,601"
15/01/2024,12,"-2.687,000"
15/01/2024,13,"-2.896,000"
15/01/2024,14,"-2.896,000"
15/01/2024,15,"-2.896,000"
15/01/2024,16,"-2.685,951"
15/01/2024,17,"-2.598,495"
15/01/2024,18,"-2.020,740"
15/01/2024,19,"-1.434,452"
15/01/2024,20,"-961,150"
15/01/2024,21,"-420,324"
15/01/2024,22,"-1.136,297"
15/01/2024,23,"-765,298"
15/01/2024,24,"-1.477,755"
16/01/2024,1,"-1.534,348"
16/01/2024,2,"-1.747,123"
16/01/2024,3,"-1.567,739"
16/01/2024,4,"-1.506,541"
16/01/2024,5,"-1.306,918"
16/01/2024,6,"-298,993"
16/01/2024,7,"128,013"
16/01/2024,8,"224,243"
16/01/2024,9,"-731,798"
16/01/2024,10,"-1.462,721"
16/01/2024,11,"-1.559,485"
16/01/2024,12,"-1.892,169"
16/01/2024,13,"-1.820,731"
16/01/2024,14,"-1.382,834"
16/01/2024,15,"-904,885"
16/01/2024,16,"-686,827"
16/01/2024,17,"-148,890"
16/01/2024,18,"814,317"
16/01/2024,19,"1.311,989"
16/01/2024,20,"1.607,141"
16/01/2024,21,"2.047,185"
16/01/2024,22,"1.506,483"
16/01/2024,23,"870,733"
16/01/2024,24,"697,452"
17/01/2024,1,"237,447"
17/01/2024,2,"-230,093"
17/01/2024,3,"-585,857"
17/01/2024,4,"-770,708"
17/01/2024,5,"-739,931"
17/01/2024,6,"-404,519"
17/01/2024,7,"-486,117"
17/01/2024,8,"-854,996"
17/01/2024,9,"-443,545"
17/01/2024,10,"-901,424"
17/01/2024,11,"-2.136,141"
17/01/2024,12,"-2.911,738"
17/01/2024,13,"-2.252,837"
17/01/2024,14,"-2.240,750"
17/01/2024,15,"-2.263,660"
17/01/2024,16,"-1.557,007"
17/01/2024,17,"-1.479,156"
17/01/2024,18,"-1.002,569"
17/01/2024,19,"-1.038,941"
17/01/2024,20,"-278,192"
17/01/2024,21,"153,200"
17/01/2024,22,"152,753"
17/01/2024,23,"290,217"
17/01/2024,24,"-1.205,986"
18/01/2024,1,"-1.591,458"
18/01/2024,2,"-2.142,653"
18/01/2024,3,"-2.477,401"
18/01/2024,4,"-2.679,478"
18/01/2024,5,"-2.663,099"
18/01/2024,6,"-2.001,989"
18/01/2024,7,"-1.631,076"
18/01/2024,8,"-1.102,763"
18/01/2024,9,"-1.667,575"
18/01/2024,10,"-2.621,201"
18/01/2024,11,"-3.021,000"
18/01/2024,12,"-3.021,000"
18/01/2024,13,"-2.927,000"
18/01/2024,14,"-2.927,000"
18/01/2024,15,"-2.927,000"
18/01/2024,16,"-2.851,170"
18/01/2024,17,"-2.236,496"
18/01/2024,18,"-1.870,063"
18/01/2024,19,"-1.338,507"
18/01/2024,20,"-913,270"
18/01/2024,21,"-848,165"
18/01/2024,22,"-1.285,561"
18/01/2024,23,"-2.003,750"
18/01/2024,24,"-2.762,861"
19/01/2024,1,"-3.110,205"
19/01/2024,2,"-3.412,000"
19/01/2024,3,"-3.412,000"
19/01/2024,4,"-3.359,000"
19/01/2024,5,"-3.194,714"
19/01/2024,6,"-2.765,286"
19/01/2024,7,"-2.414,667"
19/01/2024,8,"-2.627,573"
19/01/2024,9,"-2.258,537"
19/01/2024,10,"-2.628,330"
19/01/2024,11,"-2.893,000"
19/01/2024,12,"-2.893,000"
19/01/2024,13,"-3.312,000"
19/01/2024,14,"-2.974,306"
19/01/2024,15,"-2.598,781"
19/01/2024,16,"-1.828,787"
19/01/2024,17,"-939,562"
19/01/2024,18,"-166,375"
19/01/2024,19,"46,558"
19/01/2024,20,"1.049,562"
19/01/2024,21,"1.293,214"
19/01/2024,22,"986,534"
19/01/2024,23,"1.415,232"
19/01/2024,24,"1.069,238"
20/01/2024,1,"626,410"
20/01/2024,2,"-208,176"
20/01/2024,3,"-1.027,558"
20/01/2024,4,"-1.251,547"
20/01/2024,5,"-1.182,920"
20/01/2024,6,"-765,452"
20/01/2024,7,"-1.194,080"
20/01/2024,8,"-953,829"
20/01/2024,9,"-347,688"
20/01/2024,10,"178,738"
20/01/2024,11,"435,376"
20/01/2024,12,"468,612"
20/01/2024,13,"78,609"
20/01/2024,14,"-324,202"
20/01/2024,15,"-354,570"
20/01/2024,16,"171,111"
20/01/2024,17,"347,900"
20/01/2024,18,"1.039,094"
20/01/2024,19,"136,210"
20/01/2024,20,"433,821"
20/01/2024,21,"595,582"
20/01/2024,22,"387,613"
20/01/2024,23,"-582,208"
20/01/2024,24,"-1.153,709"
21/01/2024,1,"-2.063,901"
21/01/2024,2,"-2.536,395"
21/01/2024,3,"-2.642,363"
21/01/2024,4,"-2.854,933"
21/01/2024,5,"-2.598,258"
21/01/2024,6,"-2.454,016"
21/01/2024,7,"-2.017,065"
21/01/2024,8,"-1.757,441"
21/01/2024,9,"-1.735,835"
21/01/2024,10,"-2.718,850"
21/01/2024,11,"-3.452,000"
21/01/2024,12,"-3.452,000"
21/01/2024,13,"-3.452,000"
21/01/2024,14,"-3.452,000"
21/01/2024,15,"-3.384,393"
21/01/2024,16,"-1.948,117"
21/01/2024,17,"176,107"
21/01/2024,18,"1.466,537"
21/01/2024,19,"1.233,227"
21/01/2024,20,"1.368,591"
21/01/2024,21,"1.709,354"
21/01/2024,22,"869,031"
21/01/2024,23,"825,657"
21/01/2024,24,"1.130,304"
22/01/2024,1,"1.192,922"
22/01/2024,2,"1.029,897"
22/01/2024,3,"877,259"
22/01/2024,4,"1.074,173"
22/01/2024,5,"1.297,389"
22/01/2024,6,"2.237,636"
22/01/2024,7,"1.536,854"
22/01/2024,8,"2.135,608"
22/01/2024,9,"780,501"
22/01/2024,10,"61,365"
22/01/2024,11,"-820,064"
22/01/2024,12,"-1.444,944"
22/01/2024,13,"-1.288,986"
22/01/2024,14,"-1.247,571"
22/01/2024,15,"-805,270"
22/01/2024,16,"1.381,485"
22/01/2024,17,"1.915,054"
22/01/2024,18,"2.462,624"
22/01/2024,19,"2.421,420"
22/01/2024,20,"2.535,237"
22/01/2024,21,"2.304,219"
22/01/2024,22,"1.792,001"
22/01/2024,23,"297,774"
22/01/2024,24,"309,222"
23/01/2024,1,"-41,377"
23/01/2024,2,"-476,403"
23/01/2024,3,"-657,947"
23/01/2024,4,"-699,009"
23/01/2024,5,"-450,385"
23/01/2024,6,"169,699"
23/01/2024,7,"5,076"
23/01/2024,8,"540,604"
23/01/2024,9,"524,417"
23/01/2024,10,"-53,235"
23/01/2024,11,"-926,249"
23/01/2024,12,"-1.457,085"
23/01/2024,13,"-640,266"
23/01/2024,14,"-816,012"
23/01/2024,15,"-1.336,555"
23/01/2024,16,"-1.007,764"
23/01/2024,17,"-319,315"
23/01/2024,18,"305,697"
23/01/2024,19,"55,010"
23/01/2024,20,"455,747"
23/01/2024,21,"1.026,408"
23/01/2024,22,"572,189"
23/01/2024,23,"792,796"
23/01/2024,24,"214,671"
24/01/2024,1,"-280,133"
24/01/2024,2,"-439,128"
24/01/2024,3,"-849,447"
24/01/2024,4,"-1.138,028"
24/01/2024,5,"-815,076"
